android,genre,review_ratting,size_pro
0.0,19.0,1.0,0.0
0.0,19.0,2.0,0.0
0.0,19.0,2.0,0.0
0.0,19.0,1.0,0.0
0.0,19.0,5.0,0.0
0.0,19.0,3.0,0.0
0.0,19.0,1.0,0.0
0.0,19.0,3.0,0.0
0.0,19.0,1.0,0.0
0.0,2.0,5.0,0.0
0.0,2.0,5.0,0.0
0.0,2.0,4.0,0.0
0.0,2.0,4.0,0.0
0.0,2.0,1.0,0.0
5.0,2.0,1.0,16.0
5.0,2.0,1.0,16.0
5.0,2.0,5.0,16.0
5.0,2.0,5.0,16.0
4.1,2.0,5.0,17.0
4.1,2.0,5.0,17.0
4.1,2.0,5.0,17.0
0.0,3.0,1.0,0.0
0.0,3.0,4.0,0.0
0.0,3.0,5.0,0.0
0.0,3.0,4.0,0.0
2.3,3.0,5.0,13.0
2.3,3.0,4.0,13.0
2.3,3.0,2.0,13.0
2.3,3.0,1.0,13.0
0.0,3.0,2.0,0.0
0.0,3.0,5.0,0.0
0.0,3.0,2.0,0.0
0.0,3.0,1.0,0.0
0.0,3.0,1.0,0.0
0.0,3.0,5.0,0.0
0.0,16.0,4.0,0.0
0.0,16.0,5.0,0.0
0.0,16.0,2.0,0.0
0.0,16.0,2.0,0.0
0.0,16.0,1.0,0.0
0.0,10.0,2.0,0.0
0.0,10.0,2.0,0.0
0.0,10.0,5.0,0.0
0.0,10.0,3.0,0.0
0.0,10.0,1.0,0.0
4.03,4.0,5.0,0.0
4.03,4.0,3.0,0.0
4.03,4.0,2.0,0.0
4.03,4.0,4.0,0.0
4.03,4.0,1.0,0.0
4.03,4.0,3.0,12.0
4.03,4.0,5.0,12.0
4.03,4.0,5.0,12.0
4.03,4.0,5.0,12.0
0.0,20.0,1.0,0.0
0.0,20.0,3.0,0.0
0.0,20.0,1.0,0.0
0.0,20.0,1.0,0.0
0.0,20.0,4.0,0.0
4.0,21.0,5.0,18.0
4.0,21.0,4.0,18.0
4.0,21.0,2.0,18.0
4.0,21.0,5.0,18.0
4.0,21.0,5.0,18.0
4.0,21.0,1.0,18.0
4.0,21.0,3.0,18.0
4.0,21.0,1.0,18.0
4.0,21.0,1.0,18.0
4.0,21.0,5.0,18.0
4.0,21.0,5.0,18.0
0.0,6.0,2.0,0.0
0.0,6.0,3.0,0.0
0.0,6.0,1.0,0.0
4.0,6.0,5.0,3.0
4.0,6.0,3.0,3.0
4.0,6.0,2.0,3.0
4.0,6.0,4.0,3.0
4.0,6.0,2.0,3.0
4.0,6.0,1.0,3.0
4.0,6.0,5.0,3.0
0.0,6.0,5.0,0.0
0.0,6.0,2.0,0.0
0.0,6.0,4.0,0.0
0.0,6.0,5.0,0.0
0.0,6.0,5.0,0.0
0.0,6.0,5.0,0.0
5.0,6.0,5.0,0.0
5.0,6.0,5.0,0.0
5.0,6.0,2.0,0.0
5.0,6.0,5.0,0.0
5.0,6.0,4.0,0.0
4.03,7.0,5.0,0.0
4.03,7.0,5.0,0.0
4.03,7.0,3.0,0.0
5.0,7.0,3.0,0.0
5.0,7.0,5.0,0.0
5.0,7.0,4.0,0.0
5.0,7.0,5.0,0.0
5.0,7.0,5.0,0.0
5.0,7.0,5.0,0.0
4.4,7.0,4.0,0.0
4.4,7.0,3.0,0.0
4.4,7.0,5.0,0.0
4.4,7.0,4.0,0.0
0.0,7.0,1.0,0.0
0.0,7.0,1.0,0.0
0.0,7.0,1.0,0.0
0.0,7.0,4.0,0.0
0.0,7.0,3.0,0.0
5.0,7.0,5.0,4.0
5.0,7.0,3.0,4.0
5.0,7.0,5.0,4.0
4.2,7.0,4.0,13.0
4.2,7.0,5.0,13.0
4.2,7.0,4.0,13.0
5.0,7.0,5.0,13.0
5.0,7.0,5.0,13.0
5.0,7.0,1.0,13.0
5.0,7.0,2.0,13.0
4.1,7.0,1.0,19.0
4.1,7.0,1.0,19.0
4.1,7.0,4.0,19.0
4.1,7.0,5.0,19.0
4.1,8.0,1.0,2.0
4.1,8.0,1.0,2.0
4.1,8.0,5.0,2.0
4.1,8.0,4.0,2.0
4.1,18.0,5.0,19.0
4.1,18.0,5.0,19.0
4.1,18.0,5.0,19.0
4.2,22.0,5.0,19.0
4.2,22.0,5.0,19.0
4.2,22.0,1.0,19.0
4.2,22.0,2.0,19.0
4.2,22.0,1.0,19.0
4.2,22.0,5.0,19.0
4.2,22.0,4.0,19.0
0.0,3.0,4.0,0.0
0.0,3.0,5.0,0.0
0.0,3.0,4.0,0.0
4.3,13.0,1.0,19.0
4.3,13.0,5.0,19.0
4.3,13.0,3.0,19.0
0.0,3.0,2.0,0.0
0.0,3.0,2.0,0.0
0.0,3.0,4.0,0.0
0.0,3.0,5.0,0.0
0.0,3.0,5.0,0.0
0.0,3.0,4.0,0.0
0.0,3.0,4.0,0.0
0.0,3.0,5.0,0.0
0.0,3.0,3.0,0.0
0.0,3.0,4.0,0.0
0.0,9.0,3.0,0.0
0.0,9.0,1.0,0.0
0.0,9.0,3.0,0.0
0.0,9.0,5.0,0.0
0.0,9.0,5.0,0.0
4.03,7.0,1.0,13.0
4.03,7.0,3.0,13.0
4.03,7.0,4.0,13.0
4.0,9.0,2.0,0.0
4.0,9.0,1.0,0.0
4.0,9.0,5.0,0.0
4.0,9.0,5.0,0.0
4.0,9.0,1.0,0.0
4.0,9.0,5.0,0.0
4.0,9.0,5.0,0.0
0.0,9.0,5.0,0.0
0.0,9.0,2.0,0.0
0.0,9.0,5.0,0.0
0.0,9.0,5.0,0.0
0.0,9.0,3.0,0.0
5.0,14.0,4.0,19.0
5.0,14.0,5.0,19.0
5.0,14.0,5.0,19.0
5.0,14.0,3.0,19.0
5.0,14.0,4.0,19.0
4.03,18.0,2.0,13.0
4.03,18.0,1.0,13.0
4.03,18.0,2.0,13.0
4.03,18.0,3.0,13.0
4.03,18.0,3.0,13.0
0.0,18.0,5.0,0.0
0.0,18.0,1.0,0.0
0.0,18.0,1.0,0.0
0.0,18.0,1.0,0.0
4.1,18.0,3.0,14.0
4.1,18.0,2.0,14.0
4.1,18.0,3.0,14.0
4.1,18.0,1.0,14.0
4.1,18.0,1.0,14.0
4.1,3.0,1.0,19.0
4.1,3.0,3.0,19.0
